,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
MISO_INDIANA_2022_15,-69.16092643,49.43241446,-131.6193613,47.82870648,38.42461048,-65.49965031,8.04,0,1.5,71.46314954,-4.43,44.3475,58.255,81.5925,2411.71,70.27445867,14.63693097,366.3904192,0.582687418,0.002469096,0.991907678
MISO_LOUISIANA_2019_15,-156.5927654,-64.40877349,-133.6612931,-21.84456014,1.055030114,18.55191172,2.73,0,1.5,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,0.993512883
MISO_LOUISIANA_2022_15,-105.2285015,2.386534552,-166.3164196,1.28817218,-14.04089025,-62.64867177,8.04,0,1.5,62.47651027,-3.03,40.29,52.905,71.82,2009.43,60.16116204,16.3724742,397.407016,0.671959306,0.00181516,1
MISO_MINNESOTA_2019_15,-164.409681,-101.9657091,-174.5041583,-19.67193099,-30.51666551,35.84657975,3.73,0,1.5,21.97139498,-38.56,17.17,20.185,23.66,661.22,16.95964077,19.59374883,593.6086388,0.645170561,0.001922149,0.999246166
MISO_MINNESOTA_2022_15,-134.5665478,-60.2615029,-198.3030809,-21.94729774,-68.9060413,-25.93490783,8.04,0,1.5,44.09752968,-62.28,23.52,36.915,55.6825,1781.78,49.09061903,14.55683948,395.1689622,0.534700206,0.001960582,0.998730506
NETL_ERCOT_GEN_0_15,-166.350018,-76.37192128,-207.9657359,-59.89260888,-55.47136754,-22.23557188,4.42,0,1.5,31.13969033,0.126198435,27.87045202,30.13944616,34.36572552,193.1370069,8.657302713,1.346379767,27.21281874,0.093094352,0.010027232,5.53E-06
NETL_ERCOT_GEN_100_15,-9.801910824,110.8451537,-57.3836014,112.3453448,114.0003593,-61.14274191,4.42,110.231,1.5,64.34097498,0.12631382,52.69122853,67.53422322,75.22030767,1167.406372,27.19991149,11.41908212,386.9072781,0.336990607,0.022238921,0
NETL_ERCOT_GEN_250_15,257.2925018,377.9510425,209.6952763,379.1376998,406.5263053,-61.78780852,4.42,275.5775,1.5,111.2647832,0.12631382,80.88683102,125.2687055,140.1447629,1289.150704,56.15034116,4.567944555,90.93322463,0.232781088,0.038743732,0
NETL_ERCOT_GEN_25_15,-139.0831584,-23.67068896,-186.772936,-20.6039341,-27.03241104,-54.31310269,4.42,27.55775,1.5,40.70200444,0.12631382,34.75317787,40.66943741,45.85093827,345.5538373,11.91936735,4.102797904,88.41411862,0.195076542,0.012511186,0
NETL_ERCOT_GEN_50_15,-98.09194354,20.38760626,-145.1349915,22.44186781,17.4747553,-59.11667941,4.42,55.1155,1.5,48.45455269,0.12631382,41.41961172,50.32260673,54.47814482,841.2453115,17.64895589,12.84091669,513.1168562,0.321417154,0.023308461,0
NYISO_2019_15,-161.2815648,-90.5323235,-146.5515474,-1.265883794,-7.106521872,46.84105491,3.05,0,1.5,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,0.998504004
NYISO_2022_15,-86.48905151,4.022428947,-147.8193249,48.92192721,9.898770722,-19.55266254,7.57,0,1.5,53.64449087,-410.7,24.7,43.98,66.5375,2829.46,73.75277403,15.1125778,457.6417776,0.497978054,0.004132604,0.45108567
PJM_WEST_2019_15,-142.6590702,-46.96342302,-116.9426612,-10.10338707,16.1865044,13.29149222,2.43,0,1.5,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,0.977128157
PJM_WEST_2022_15,-33.75765876,91.28148257,-93.40176075,89.21225294,85.63778572,-64.57215288,7.04,0,1.5,74.25228529,-20.2954,44.427075,58.14895,81.378875,3794.4313,118.221723,19.78489554,478.5809901,0.81490188,0.002474952,0.991829102
SPP_NORTH_2019_15,-146.3529604,-79.34868924,-119.6223785,27.53012114,18.93866534,58.40074464,2.75,0,1.5,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,0.9925124
SPP_NORTH_2022_15,-127.5431111,-60.09801006,-196.1635013,24.96786621,-51.68774757,25.37124953,8.21,0,1.5,35.71421293,-102.7981,9.72215,25.5635,52.368375,1161.6271,50.09888074,5.228412076,66.27828239,0.409015228,0.001765843,1
SPP_SOUTH_2019_15,-140.9790015,-71.7755444,-118.8105504,30.78507852,23.08410591,54.11291347,2.83,0,1.5,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,1
SPP_SOUTH_2022_15,-76.78842923,7.506686397,-148.0711248,67.86529962,21.7188726,-11.28666833,7.61,0,1.5,52.4426684,-38.083,19.2189,40.44085,69.956125,1356.8784,60.5276699,4.115521762,45.5523622,0.369439073,0.001709504,1
WinterNYCapRes_2030_15,-165.4234291,-84.33870814,-144.7615176,-23.16220679,-9.380717373,31.23117814,2.94,0,1.5,22.35654316,1.06E-08,19.02499998,20.52499997,23.66005472,135.5121691,9.704171047,6.377681674,56.93429715,0.695329901,0.030059282,0
WinterNYTaxCapRes_2030_15,-70.73421356,30.97535963,-107.0154617,52.33926047,33.20585347,-49.58802055,2.94,60,1.5,41.8251288,7.11E-08,37.71799888,43.68300016,47.43368014,223.2342364,21.03365623,1.769445685,10.4959055,0.306064937,0.045315808,0
WinterNYTax_2030_15,-38.10193382,65.16722757,-76.58884739,82.32714814,75.32895907,-56.58451593,2.94,60,1.5,48.00396996,1.36E-08,44.03599916,46.22400126,51.96499927,1800.000005,44.4710803,22.44251455,734.2625828,0.68451291,0.035512274,0
WinterNY_2030_15,-141.7867798,-46.95015561,-127.7153525,-15.13061089,10.70393222,8.795568824,2.94,0,1.5,29.087939,2.60E-07,21.54800309,23.72600036,28.24272251,4257.425614,81.72304869,31.53582536,1215.074842,0.817279371,0.035635328,0
BaseCaseCapRes_2030_20,-170.9993069,-95.56841907,-69.13684102,56.69880595,66.04841678,120.6646789,2.94,0,2,20.10986108,-330.0078856,17.74400002,19.98099997,23.24599975,111.6506992,8.712783131,-16.80026372,641.2076537,0.439684949,0.052328648,0
BaseCaseTaxCapRes_2030_20,-73.76836897,26.81958804,-57.73506946,64.2034492,90.09637963,8.029372502,2.94,60,2,40.85208675,-1.44E-06,37.34199985,40.10000002,45.54099967,209.1004493,23.24454762,2.217126408,13.80024625,0.352095293,0.060626954,0
BaseCaseTax_2030_20,-34.41676043,65.85214542,-24.85302732,104.1065698,126.8290548,-1.563010038,2.94,60,2,47.68705371,-1.02E-07,37.34200025,43.40000132,47.28000003,1800.000025,82.47529566,15.41570358,277.5773599,0.850542762,0.058925709,0
BaseCase_2030_20,-120.2608738,-33.20322003,-32.84272163,82.37810963,110.4577534,93.54289613,2.94,0,2,30.24979611,-113.2815717,19.02499997,24.12941557,30.09999988,1349.591575,80.52218105,12.48307204,162.0554316,0.95014208,0.03618715,0
CAISO_NP15_2019_20,-123.1954036,-30.01195793,-88.68969452,48.04623193,63.80783053,47.5489795,3.87,0,2,35.59410914,-43.3701,22.944475,30.83785,41.7378,1013.6738,37.8459945,13.8162834,281.6485925,0.674125919,0.005257709,0.116599676
CAISO_NP15_2022_20,37.50478563,170.8063814,-18.72054758,185.9611442,189.27622,-49.48059859,7.47,0,2,89.63344005,-16.3892,51.30345,69.9768,91.973725,1971.8911,106.4439659,9.238668704,129.129212,0.65354456,0.004203258,0.419762646
CAISO_SP15_2019_20,-120.5008016,-28.43516988,-86.91651982,52.3345175,65.96452516,47.79793357,3.87,0,2,35.76289704,-36.4988,21.907575,30.81345,42.2941,980.3147,39.34944274,13.05012585,246.6358946,0.686219743,0.005721276,0.057761912
CAISO_SP15_2022_20,24.56132403,147.883212,-33.19008714,179.2381596,175.1025688,-36.75736055,7.47,0,2,84.2986175,-27.4744,46.06545,65.96965,90.0033,1994.734,104.7273432,8.681443648,119.5721779,0.623035543,0.004089906,0.47001499
CAISO_ZP26_2019_20,-122.772682,-30.77605116,-88.06186838,50.61899377,64.63162106,49.39641746,3.87,0,2,35.31622978,-40.6231,21.989275,30.6805,41.652475,1065.9115,38.85246235,14.03788728,289.0423989,0.678194615,0.005209614,0.126216799
CAISO_ZP26_2022_20,11.41363622,132.7612775,-46.1090071,168.2355231,161.3217998,-33.36194972,7.47,0,2,81.30118618,-35.0853,45.008325,65.30625,86.917725,1976.5301,101.7236996,9.083343261,129.9866901,0.627931106,0.003537333,0.732585374
ERCOT_HOUSTON_2019_20,-120.2623196,-34.12538779,-13.26462441,94.8707011,121.1615887,103.0464468,2.39,0,2,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.0564936,31.59607622,1156.477019,0.861863694,0.001605825,1
ERCOT_HOUSTON_2022_20,-60.9821364,38.60512212,-118.6533056,84.87896755,73.21216129,-10.7333617,7.05,0,2,61.97532545,-28.7943,30.784325,46.5179,68.534975,4835.4304,146.368505,20.3951491,525.1743386,0.789438761,0.003361584,0.810101805
ERCOT_NORTH_2019_20,-121.254932,-37.58060975,-13.31679511,97.6455292,120.8525612,106.9753437,2.39,0,2,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,0.761236435
ERCOT_NORTH_2022_20,-90.43464638,4.813135476,-147.6891652,60.1182904,41.76401366,-0.997557171,7.05,0,2,55.0601666,-464.7304,28.1067,44.2324,64.246875,5073.4436,130.8880563,25.90569819,819.6266284,0.817022372,0.004782089,0.217680495
ERCOT_SOUTH_2019_20,-123.4373278,-37.60879009,-15.27942007,92.83561274,118.8296415,105.0601014,2.39,0,2,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,1
ERCOT_SOUTH_2022_20,-96.22365409,-2.540204899,-153.2331615,55.67750612,35.87030115,2.455354427,7.05,0,2,53.50807846,-31.1793,28.146175,43.3772,63.054075,4680.6634,114.0648859,25.23627761,817.1954926,0.777703504,0.003803781,0.605025296
ERCOT_WEST_2019_20,-120.391782,-41.007299,-11.97987162,106.7706649,123.5491882,115.9126807,2.39,0,2,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,0.145215066
ERCOT_WEST_2022_20,-89.41281561,0.854227147,-147.3580839,86.85574911,52.99967325,27.82221102,7.05,0,2,50.38087806,-47.6123,22.81375,42.12905,64.050475,5143.3014,132.1759345,25.50235673,807.5423241,0.803621666,0.03378391,0
HighSolarCapRes_2030_20,-169.6217719,-95.79928228,-68.22776984,60.0507217,67.10465888,122.3132472,2.94,0,2,19.96012651,-266.2156793,17.68400057,19.61800056,22.21099469,123.8209637,8.82069626,-4.116510706,250.0569619,0.07091521,0.058773988,0
HighSolarTaxCapRes_2030_20,-78.33970947,16.08388596,-54.29105616,76.79326412,94.23434144,26.17893866,2.94,60,2,38.28499219,-1.950964584,33.02505928,39.91199741,46.68399988,205.2991611,25.23772448,1.609095662,9.191508808,0.294375893,0.064112568,0
HighSolarTax_2030_20,-37.86658452,56.66770078,-18.03646975,116.618523,134.3590176,18.00462931,2.94,60,2,45.43378918,-6.02E-07,34.15374562,40.09999998,47.73100015,1800,85.87019812,13.87271068,229.2184291,0.833057247,0.065325506,0
HighSolar_2030_20,-116.8734437,-33.56898157,-26.89300372,94.47592674,116.3080626,99.08451078,2.94,0,2,30.12822897,-111.2865714,18.772,22.773,27.41026977,1800,91.83028677,14.24656195,224.0559508,0.898296668,0.046175794,0
HighWindCapRes_2030_20,-170.999307,-95.5684177,-69.13684126,56.69880432,66.04841665,120.6649267,2.94,0,2,20.10986133,-330.0078845,17.74400006,19.98099999,23.24599993,111.6506988,8.712783232,-16.80026318,641.2076067,0.439684953,0.052328708,0
HighWindTaxCapRes_2030_20,-81.82094488,12.62705269,-60.54824684,72.82108029,88.0967628,25.50352437,2.94,60,2,37.48910137,-3.80E-06,36.58900079,40.10000003,46.57699799,202.8804025,23.90980952,1.274886734,8.244159549,0.23346309,0.087720608,0
HighWindTax_2030_20,-36.90980187,56.43573378,-21.75140796,120.6215057,131.5469403,18.25928839,2.94,60,2,45.06063183,-1.61E-07,36.58899998,43.4000026,48.71099863,1800.000003,89.50459325,15.12899956,263.4350975,0.862820789,0.091323837,0
HighWind_2030_20,-120.260872,-33.20322062,-32.84272199,82.37811179,110.4575501,93.54302035,2.94,0,2,30.24979597,-113.2815693,19.02499999,24.12941556,30.09999996,1349.591576,80.52218078,12.48307212,162.0554336,0.950142081,0.036187199,0
ISO_NE_2019_20,-145.3675561,-70.77095628,-121.3306871,40.92854801,34.73570014,69.87190807,4.5,0,2,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56166968,2.80590636,13.04447472,0.552996735,0.001763626,1
ISO_NE_2022_20,-51.452119,63.64741911,-109.4267645,71.34235058,54.46923324,-51.01218335,10.76,0,2,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92435099,6.741013859,157.4969691,0.289357305,0.002238656,0.994999534
MiNg_$100_CAISO_2035_20,51.86618945,130.8438301,77.53332859,246.1388083,233.471454,40.67896525,2.26,100,2,52.97257669,0,1.17,73.585,91.23,178.28,43.71907064,-0.199731517,-1.568262256,0.725792605,0.156735096,0
MiNg_$100_ERCOT_2035_20,-55.73354711,18.50913219,-8.048796304,161.4322257,144.4695488,86.28117692,2.64,100,2,33.66061126,0,0,30.385,70.13,186.42,35.29746933,0.482471217,-0.945428853,0.599716589,0.07461005,0
MiNg_$100_MISO-W_2035_20,-27.17571321,44.04811322,28.83459294,187.1459319,169.3619079,80.05204819,1.69,100,2,35.12351419,0,0,42.12,69.24,145.07,34.44692668,0.142891078,-1.714727084,0.793294769,0.10022202,0
MiNg_$100_NYISO_2035_20,-8.565812299,56.6448684,72.92457138,223.3896789,207.2511393,96.24002112,1.12,100,2,35.21884386,0,0,1.41,74.6625,182.14,40.05829425,0.487903694,-1.195248043,0.685603037,0.114545578,0
MiNg_$100_PJM-W_2035_20,32.05098539,111.5527396,63.87907486,201.3488422,203.7402101,25.01929295,1.42,100,2,48.01168613,0,8.06,63.575,76.9025,172.29,33.47362079,-0.325040878,-1.426971765,0.702420734,0.116823124,0
MiNg_$150_CAISO_2035_20,31.38078023,101.135101,92.60302474,271.5786267,248.7260241,99.48007914,2.26,150,2,45.34645604,0,0,1.53,105.405,203.01,53.73638702,0.443520376,-1.643399563,0.881469471,0.116924297,0
MiNg_$150_ERCOT_2035_20,-23.2813038,45.59650186,36.47150256,223.5467922,194.2992867,112.2081731,2.64,150,2,36.18433265,0,0,0.18,92.95,204.49,46.60158175,0.660464622,-1.313764678,0.851207558,0.095942041,0
MiNg_$150_MISO-W_2035_20,-53.10631839,10.38669974,32.47673799,208.6644021,177.2239502,136.5026823,2.01,150,2,28.1322516,0,0,0.25,70.01,162.06,40.38926288,0.919725797,-0.924047432,0.8887388,0.061314676,0
MiNg_$150_NYISO_2035_20,-8.282207536,52.42128159,100.0300602,254.9852068,235.4425717,133.4597134,1.14,150,2,33.67239469,0,0,0.27,92.62,229.17,48.60417613,0.901800383,-0.82216734,0.832197207,0.086154364,0
MiNg_$150_PJM-W_2035_20,52.56338635,126.7467141,109.8844026,253.7042655,253.0660606,62.57108364,1.43,150,2,49.81408539,0,0.15,47.84,98.48,181.06,45.76139962,0.106800672,-1.756959421,0.812981114,0.109772812,0
MISO_INDIANA_2019_20,-150.7290933,-55.76236787,-55.28508641,46.92800248,80.09317613,87.91630675,2.73,0,2,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,0.997466439
MISO_INDIANA_2022_20,-69.16092643,49.43241446,-149.7658518,60.40358626,55.59928375,-50.16773621,8.04,0,2,71.46314954,-4.43,44.3475,58.255,81.5925,2411.71,70.27445867,14.63693097,366.3904192,0.582687418,0.002469096,0.991907678
MISO_LOUISIANA_2019_20,-156.5927654,-64.40877349,-57.23685505,47.27049641,77.42211696,95.40806096,2.73,0,2,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,0.993512883
MISO_LOUISIANA_2022_20,-105.2285015,2.386534552,-166.0965659,19.44525778,9.282492355,-40.00046895,8.04,0,2,62.47651027,-3.03,40.29,52.905,71.82,2009.43,60.16116204,16.3724742,397.407016,0.671959306,0.00181516,1
MISO_MINNESOTA_2019_20,-164.409681,-101.9657091,-97.7706916,53.33826231,46.16398697,112.6933411,3.73,0,2,21.97139498,-38.56,17.17,20.185,23.66,661.22,16.95964077,19.59374883,593.6086388,0.645170561,0.001922149,0.999246166
MISO_MINNESOTA_2022_20,-134.5665478,-60.2615029,-197.5284241,20.3373265,-23.28744738,22.66556162,8.04,0,2,44.09752968,-62.28,23.52,36.915,55.6825,1781.78,49.09061903,14.55683948,395.1689622,0.534700206,0.001960582,0.998730506
NETL_ERCOT_GEN_0_20,-166.350018,-76.37192128,-134.393608,-4.892708219,17.81490711,51.57259442,4.42,0,2,31.13969033,0.126198435,27.87045202,30.13944616,34.36572552,193.1370069,8.657302713,1.346379767,27.21281874,0.093094352,0.010027232,5.53E-06
NETL_ERCOT_GEN_100_20,-9.801910824,110.8451537,-44.68428182,121.4736314,126.4200433,-48.82495186,4.42,110.231,2,64.34097498,0.12631382,52.69122853,67.53422322,75.22030767,1167.406372,27.19991149,11.41908212,386.9072781,0.336990607,0.022238921,0
NETL_ERCOT_GEN_250_20,257.2925018,377.9510425,221.5499851,388.3392394,418.2156527,-52.26870893,4.42,275.5775,2,111.2647832,0.12631382,80.88683102,125.2687055,140.1447629,1289.150704,56.15034116,4.567944555,90.93322463,0.232781088,0.038743732,0
NETL_ERCOT_GEN_25_20,-139.0831584,-23.67068896,-132.8659937,-3.075684626,23.72180412,-2.773543052,4.42,27.55775,2,40.70200444,0.12631382,34.75317787,40.66943741,45.85093827,345.5538373,11.91936735,4.102797904,88.41411862,0.195076542,0.012511186,0
NETL_ERCOT_GEN_50_20,-98.09194354,20.38760626,-118.652292,35.27032474,42.87812288,-33.49971492,4.42,55.1155,2,48.45455269,0.12631382,41.41961172,50.32260673,54.47814482,841.2453115,17.64895589,12.84091669,513.1168562,0.321417154,0.023308461,0
NYISO_2019_20,-161.2815648,-90.5323235,-70.37083912,68.44498956,69.01568355,123.4978698,3.05,0,2,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,0.998504004
NYISO_2022_20,-86.48905151,4.022428947,-146.6847906,82.33388223,48.14036886,19.58271512,7.57,0,2,53.64449087,-410.7,24.7,43.98,66.5375,2829.46,73.75277403,15.1125778,457.6417776,0.497978054,0.004132604,0.45108567
PJM_WEST_2019_20,-142.6590702,-46.96342302,-42.22775663,52.91314466,90.80277455,88.73898554,2.43,0,2,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,0.977128157
PJM_WEST_2022_20,-33.75765876,91.28148257,-90.64312295,100.6045065,104.4446612,-49.59426294,7.04,0,2,74.25228529,-20.2954,44.427075,58.14895,81.378875,3794.4313,118.221723,19.78489554,478.5809901,0.81490188,0.002474952,0.991829102
SPP_NORTH_2019_20,-146.3529604,-79.34868924,-45.09881854,98.29022082,93.4063991,133.7331721,2.75,0,2,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,0.9925124
SPP_NORTH_2022_20,-127.5431111,-60.09801006,-193.2596605,76.49348398,1.168791732,80.92792427,8.21,0,2,35.71421293,-102.7981,9.72215,25.5635,52.368375,1161.6271,50.09888074,5.228412076,66.27828239,0.409015228,0.001765843,1
SPP_SOUTH_2019_20,-140.9790015,-71.7755444,-45.31707805,99.70989068,96.51269892,128.6128378,2.83,0,2,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,1
SPP_SOUTH_2022_20,-76.78842923,7.506686397,-142.0288115,106.0557401,63.3265708,28.43821243,7.61,0,2,52.4426684,-38.083,19.2189,40.44085,69.956125,1356.8784,60.5276699,4.115521762,45.5523622,0.369439073,0.001709504,1
WinterNYCapRes_2030_20,-165.4234291,-84.33870814,-67.36917216,51.51468538,67.99880189,108.8997433,2.94,0,2,22.35654316,1.06E-08,19.02499998,20.52499997,23.66005472,135.5121691,9.704171047,6.377681674,56.93429715,0.695329901,0.030059282,0
WinterNYTaxCapRes_2030_20,-70.73421356,30.97535963,-62.857636,63.75817308,84.54371897,-1.923891455,2.94,60,2,41.8251288,7.11E-08,37.71799888,43.68300016,47.43368014,223.2342364,21.03365623,1.769445685,10.4959055,0.306064937,0.045315808,0
WinterNYTax_2030_20,-38.10193382,65.16722757,-46.49355593,91.92010665,103.9613249,-22.5547387,2.94,60,2,48.00396996,1.36E-08,44.03599916,46.22400126,51.96499927,1800.000005,44.4710803,22.44251455,734.2625828,0.68451291,0.035512274,0
WinterNY_2030_20,-141.7867798,-46.95015561,-50.46060714,50.80138133,87.93144553,42.84149717,2.94,0,2,29.087939,2.60E-07,21.54800309,23.72600036,28.24272251,4257.425614,81.72304869,31.53582536,1215.074842,0.817279371,0.035635328,0
BaseCaseCapRes_2030_25,-170.9993069,-95.56841907,9.443620648,134.8916816,144.6228407,199.2863559,2.94,0,2.5,20.10986108,-330.0078856,17.74400002,19.98099997,23.24599975,111.6506992,8.712783131,-16.80026372,641.2076537,0.439684949,0.052328648,0
BaseCaseTaxCapRes_2030_25,-73.76836897,26.81958804,12.64427769,86.76743554,160.1649753,79.64440236,2.94,60,2.5,40.85208675,-1.44E-06,37.34199985,40.10000002,45.54099967,209.1004493,23.24454762,2.217126408,13.80024625,0.352095293,0.060626954,0
BaseCaseTax_2030_25,-34.41676043,65.85214542,42.38708711,124.2526787,193.7010135,65.91495018,2.94,60,2.5,47.68705371,-1.02E-07,37.34200025,43.40000132,47.28000003,1800.000025,82.47529566,15.41570358,277.5773599,0.850542762,0.058925709,0
BaseCase_2030_25,-120.2608738,-33.20322003,43.84952276,156.1791603,187.1284421,169.4104937,2.94,0,2.5,30.24979611,-113.2815717,19.02499997,24.12941557,30.09999988,1349.591575,80.52218105,12.48307204,162.0554316,0.95014208,0.03618715,0
CAISO_NP15_2019_25,-123.1954036,-30.01195793,-17.08396561,103.5515666,135.2095112,118.7963888,3.87,0,2.5,35.59410914,-43.3701,22.944475,30.83785,41.7378,1013.6738,37.8459945,13.8162834,281.6485925,0.674125919,0.005257709,0.116599676
CAISO_NP15_2022_25,37.50478563,170.8063814,1.918035916,201.4432154,213.5162603,-25.32178918,7.47,0,2.5,89.63344005,-16.3892,51.30345,69.9768,91.973725,1971.8911,106.4439659,9.238668704,129.129212,0.65354456,0.004203258,0.419762646
CAISO_SP15_2019_25,-120.5008016,-28.43516988,-15.90284333,107.1224971,136.7513464,118.8074141,3.87,0,2.5,35.76289704,-36.4988,21.907575,30.81345,42.2941,980.3147,39.34944274,13.05012585,246.6358946,0.686219743,0.005721276,0.057761912
CAISO_SP15_2022_25,24.56132403,147.883212,-7.78798726,199.5203058,204.445827,-6.952114284,7.47,0,2.5,84.2986175,-27.4744,46.06545,65.96965,90.0033,1994.734,104.7273432,8.681443648,119.5721779,0.623035543,0.004089906,0.47001499
CAISO_ZP26_2019_25,-122.772682,-30.77605116,-16.5907492,106.2280012,135.8944631,120.7536055,3.87,0,2.5,35.31622978,-40.6231,21.989275,30.6805,41.652475,1065.9115,38.85246235,14.03788728,289.0423989,0.678194615,0.005209614,0.126216799
CAISO_ZP26_2022_25,11.41363622,132.7612775,-20.34360359,189.4902194,191.3021378,-2.010033427,7.47,0,2.5,81.30118618,-35.0853,45.008325,65.30625,86.917725,1976.5301,101.7236996,9.083343261,129.9866901,0.627931106,0.003537333,0.732585374
ERCOT_HOUSTON_2019_25,-120.2623196,-34.12538779,62.92005733,166.9495988,197.3144131,178.8693187,2.39,0,2.5,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.0564936,31.59607622,1156.477019,0.861863694,0.001605825,1
ERCOT_HOUSTON_2022_25,-60.9821364,38.60512212,-72.28993948,123.4640306,123.3894442,37.93918328,7.05,0,2.5,61.97532545,-28.7943,30.784325,46.5179,68.534975,4835.4304,146.368505,20.3951491,525.1743386,0.789438761,0.003361584,0.810101805
ERCOT_NORTH_2019_25,-121.254932,-37.58060975,62.85938325,169.9735322,196.9969025,182.7693614,2.39,0,2.5,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,0.761236435
ERCOT_NORTH_2022_25,-90.43464638,4.813135476,-99.29435994,101.3448114,94.69204291,51.87733124,7.05,0,2.5,55.0601666,-464.7304,28.1067,44.2324,64.246875,5073.4436,130.8880563,25.90569819,819.6266284,0.817022372,0.004782089,0.217680495
ERCOT_SOUTH_2019_25,-123.4373278,-37.60879009,61.12385802,165.5638444,195.2027308,181.0791086,2.39,0,2.5,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,1
ERCOT_SOUTH_2022_25,-96.22365409,-2.540204899,-104.5071719,97.98815249,89.38420705,55.67886596,7.05,0,2.5,53.50807846,-31.1793,28.146175,43.3772,63.054075,4680.6634,114.0648859,25.23627761,817.1954926,0.777703504,0.003803781,0.605025296
ERCOT_WEST_2019_25,-120.391782,-41.007299,64.14375838,178.981244,199.6389969,191.6805905,2.39,0,2.5,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,0.145215066
ERCOT_WEST_2022_25,-89.41281561,0.854227147,-95.70699897,129.7445459,106.3967335,82.58329511,7.05,0,2.5,50.38087806,-47.6123,22.81375,42.12905,64.050475,5143.3014,132.1759345,25.50235673,807.5423241,0.803621666,0.03378391,0
