,model0,model1,model3,model4,model5,model6
CAISO_NP15_2019,-124.36984760773488,-30.263302932364955,-88.68969452230363,48.046231927684936,63.80783053438519,46.794944500966025
CAISO_NP15_2022,36.59795563110604,170.80638141284916,-19.839991578229597,185.96114418541876,189.27621999434936,-51.580688588946124
CAISO_ZP26_2019,-123.95942197803298,-31.02739616240164,-88.06186837924096,50.61899376884395,64.6316210612482,48.642382459713026
CAISO_ZP26_2022,10.365402224504555,132.76127748869587,-47.2284510974552,168.23552311390594,161.32179977559818,-35.210694721934395
CAISO_SP15_2019,-121.71520764375472,-28.686514881633645,-86.91651981549805,52.33451750123197,65.96452516252705,46.79255356619434
CAISO_SP15_2022,23.54997802950775,147.88321201710772,-34.0296701355917,179.238159586861,175.10256875636577,-38.35476054932455
ERCOT_NORTH_2019,-122.14964201744392,-37.580609749111886,-13.316795109187845,97.64552919752565,120.85256115688378,106.47265366506016
ERCOT_NORTH_2022,-91.37854037530022,3.2157354758352756,-149.74664924759205,60.11829040073457,41.76401366133726,-2.5056271714094085
ERCOT_SOUTH_2019,-124.38736980990022,-37.60879009352019,-15.279420067412742,92.83561273957034,118.82964145444568,104.5574114497712
ERCOT_SOUTH_2022,-97.14603009205221,-3.8862598989077974,-155.01078450602694,55.677506120520356,35.87030115003568,0.4445944271056685
ERCOT_WEST_2019,-121.28649199457318,-41.0072989991023,-11.979871616199667,106.77066492831034,123.54918824734634,115.40999072187842
ERCOT_WEST_2022,-90.41818960852731,-2.502587853097534,-148.29612385588118,86.85574911330336,52.99967325006359,26.816831024408085
ERCOT_HOUSTON_2019,-121.20006560060352,-34.12538778766865,-13.2646244105668,94.87070109637534,121.1615887068638,102.54375682445112
ERCOT_HOUSTON_2022,-61.96906639741483,37.25906711996032,-120.15106759253503,84.87896754607529,73.21216128684134,-12.744121701940314
ISO_NE_2019,-146.03786408085304,-71.52499127800967,-121.33068714588363,40.928548013925564,34.73570013679082,69.3692180695197
ISO_NE_2022,-52.380643004952894,61.798674113819786,-114.84258053087859,71.34235057833112,54.469233238388746,-54.02832335256031
NYISO_2019,-162.09942475446866,-90.78366849831097,-70.3708391236155,68.44498955665878,69.01568354929748,123.49786981400243
NYISO_2022,-87.57127551268286,1.9223389470381056,-148.74227458336566,82.33388223113658,48.14036886457606,16.31523012125823
MISO_INDIANA_2019,-151.69757929946059,-55.762367872880795,-55.28508640824302,46.92800247602899,80.0931761335988,87.91630675498575
MISO_INDIANA_2022,-70.4859964270936,49.34308445767854,-149.76585184821772,60.40358625638649,55.59928375388188,-52.17849620705153
MISO_LOUISIANA_2019,-157.45058741469092,-64.40877349327658,-57.23685505024116,47.27049641472484,77.42211696283486,95.40806096129627
MISO_LOUISIANA_2022,-106.22157954173866,1.794514552252058,-168.43391092266052,19.445257777021023,9.282492355090081,-41.005848949261456
MISO_MINNESOTA_2019,-165.03695298624868,-102.05503910624233,-97.77069159817648,53.338262306999255,46.16398697326644,112.69334113706472
MISO_MINNESOTA_2022,-135.6733638382613,-63.3669728953345,-202.1046570587502,20.337326504370676,-23.287447378629288,21.408836624022214
PJM_WEST_2019,-143.5445582274812,-46.963423020428905,-42.227756634288326,52.913144661816645,90.80277455336183,88.73898553726809
PJM_WEST_2022,-34.90443676184332,91.19215257381775,-91.86102394851756,100.60450654137225,104.44466116837373,-51.35367794324602
SPP_NORTH_2019,-147.45362840711616,-79.60003424440198,-45.09881853519182,98.29022081550956,93.40639909930556,133.73317207030215
SPP_NORTH_2022,-128.56385512261113,-64.9628950558483,-198.6754765106363,76.49348397554296,1.1687917318697507,79.67119927205503
SPP_SOUTH_2019,-142.07966949089277,-72.11621939795614,-45.317078047574476,99.7098906827036,96.51269892393525,128.61283780764106
SPP_SOUTH_2022,-78.15038722954588,2.8931463971789544,-145.2057394504183,106.05574006637089,63.32657080161872,26.1761074332516
MiNg_$100_CAISO_2035,51.3644479658892,129.69107814286542,77.74633224411234,246.8150138196249,234.11285911665996,36.92061261515649
MiNg_$150_CAISO_2035,31.020036632536023,100.40480267188236,92.85742865871221,272.3247218467819,249.40933736315185,94.87512599339811
MiNg_$100_ERCOT_2035,-56.52164493451062,16.291661875860388,-8.070908382179143,161.87572085870752,144.86644319719272,83.90828262383629
MiNg_$150_ERCOT_2035,-23.715156828066245,41.94123434763071,36.57169899210307,224.16093174122364,194.8330759898421,107.89022277845729
MiNg_$100_MISO-W_2035,-27.512379589839544,42.9089469830027,28.91380884970583,187.66006910616167,169.82718789202434,77.91407641090511
MiNg_$150_MISO-W_2035,-53.489563140894845,8.903021578272744,32.56595980047303,209.23765596548233,177.71082914012382,133.00758160324543
MiNg_$100_NYISO_2035,-8.990062607448838,56.04437964253444,73.12491360944242,224.00338676323366,207.82051056654913,92.88634425720898
MiNg_$150_NYISO_2035,-8.631876513216516,50.80104754263481,100.30486805409687,255.6857155985493,236.08939196230276,127.93996885111353
MiNg_$100_PJM-W_2035,31.701330354749544,111.85920321954411,64.0545668244134,201.90199834263979,204.29993593506993,22.47809678094288
MiNg_$150_PJM-W_2035,52.31015584278437,126.3388128474367,110.1862828636005,254.40125527704163,253.7612970532245,57.61269664551349
BaseCase_2030,-121.1340658063382,-33.203220030622546,-32.842721633187274,82.37810963118027,110.45775337026316,92.53751613231704
HighWind_2030,-121.1340639720646,-33.20322062474667,-32.842721986472135,82.3781117866848,110.45755006686616,92.53764034983045
HighSolar_2030,-117.85729973369985,-33.56898157447253,-26.893003720602213,94.47592673870508,116.30806263296142,97.8277857815774
WinterNY_2030,-142.26342578246337,-46.95015561215672,-50.46060713867256,50.80138132679194,87.93144552971414,42.84149716566358
BaseCaseTax_2030,-35.50205842540766,65.85214542371351,-24.85302731768441,104.1065698111006,126.82905479116286,-3.0710800377210816
HighWindTax_2030,-37.96435986538076,56.43573377974273,-21.751407961948164,120.62150571470242,131.54694030364377,17.002563387631554
HighSolarTax_2030,-38.96707652061563,56.66770077565432,-18.036469754644788,116.61852301104287,134.3590176114529,16.496559312778725
WinterNYTax_2030,-39.061021823239116,65.16722756893182,-46.49355592637889,91.92010665157905,103.96132492602997,-23.811463695552657
BaseCaseCapRes_2030,-171.19007086333173,-95.56841906655804,-69.13684102489361,56.698805954367074,66.04841678426905,120.66467894409644
HighWindCapRes_2030,-171.1900709628922,-95.56841770351348,-69.1368412630068,56.698804318389975,66.04841664816236,120.66492667563888
HighSolarCapRes_2030,-169.9231998631456,-95.7992822769291,-68.22776983845812,60.05072170487146,67.10465888279006,122.31324722897976
WinterNYCapRes_2030,-165.95848107170522,-84.33870814017034,-67.36917215814609,51.514685375364884,67.99880189276504,108.89974331731638
BaseCaseTaxCapRes_2030,-74.67519896618964,26.819588039775127,-57.73506945529246,64.20344919991516,90.09637962544014,8.029372502333494
HighWindTaxCapRes_2030,-82.85398488340279,12.627052689242042,-60.54824683795865,72.8210802943322,88.0967628018031,25.503524365242928
HighSolarTaxCapRes_2030,-79.28957547228886,16.083885963619153,-54.291056157592074,76.79326412261508,94.23434143715792,26.17893866108614
WinterNYTaxCapRes_2030,-71.6225995568681,30.975359627074987,-62.85763599855157,63.75817308471065,84.54371897110103,-1.9238914545642627
NETL_ERCOT_GEN_0,-167.03569595954534,-76.37192127997182,-134.39360803495097,-4.892708218648848,17.814907112905704,51.57259441608849
NETL_ERCOT_GEN_25,-139.8180204090066,-23.670688955695677,-132.86599372738797,-3.075684626170338,23.721804115710505,-3.0248880521807244
NETL_ERCOT_GEN_50,-98.80818554079369,20.387606257024757,-118.65229203439159,35.270324735237594,42.87812288352279,-34.25374992467467
NETL_ERCOT_GEN_100,-10.226122823748284,110.84515373556926,-44.68428181890398,121.4736313511334,126.42004326757171,-50.67369685525598
NETL_ERCOT_GEN_250,256.8621417564686,377.9510424713561,221.54998513604298,388.33923935967755,418.2156526701349,-56.12821393333557
