,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent CO2 (%),mole percent H2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),vapor fraction (%),volumetric flow (m**3/s)
feed01,55.85090456647029,3.1001983743161796,,,,100.0,,,1.2000000000000002,489.1843962451187,100.0,104.51070694401896
feed02a,55.850904566470284,3.100198374316179,,,,100.0,,,1.2000000000000002,837.8040269174288,100.0,179.843508133415
feed02b,55.85094176885079,3.1001983743161796,,,1e-17,100.0,,,1.2000000000000002,837.8040269174292,,179.81614664462938
feed03,72.02088215101377,6.200396863176995,,,40.00000123417326,59.99999876582676,,,1.2,893.3567968697276,,383.73435396162125
feed04,72.02088215101375,6.200396863176994,,,40.00000123417326,59.999998765826746,,,1.2,929.1281084790825,,399.11545111524805
hstrm01,32.33988016688681,6.200396863176996,,,80.00000099044581,19.999999009554195,,,1.1999999999999997,962.1665419497936,,413.41479838925756
hstrm02,16.169940382162974,3.1001984888608156,,,80.00000099044581,19.99999900955419,,,1.1999999999999997,962.1665419497936,,206.70740301329138
hstrm03,16.169939784723837,3.1001983743161814,,,80.00000099044581,19.999999009554198,,,1.1999999999999997,962.1665419497936,,206.70739537596626
hstrm04,16.16993978472384,3.100198374316182,,,80.00000099044581,19.999999009554188,,,1.1999999999999997,546.9752336733077,,117.49238736436936
hstrm05,16.16993978472384,3.1001983743161814,,,80.00000099044581,19.99999900955419,,,1.1999999999999997,372.2209319156604,,79.91499711917443
hstrm06,16.16993978472383,3.1001983743161814,,,80.00000099044581,19.999999009554188,,,1.1999999999999997,333.3033564310825,,1.720591451149863
hstrm07,14.031547832445929,2.9814995834965043,,,83.18494303628796,16.815056963712053,,,1.1999999999999997,333.30335643108174,,68.81332908577572
hstrm08,14.031547832445927,2.9814995834965043,,,83.18494303628796,16.81505696371205,,,3.6000000322502466,472.8298790178269,,32.55624571580391
hstrm09,14.031547832445932,2.981499583496505,,,83.18494303628796,16.815056963712046,,,3.6000000322502466,369.14112384770687,,25.390425014691687
hstrm11,14.031547832445927,2.981499583496505,,,83.18494303628796,16.815056963712046,,,10.800000187749733,523.1500045958505,,12.012949276569966
hstrm12,14.031547832445934,2.9814995834965052,,,83.18494303628796,16.815056963712046,,,10.800000187749733,389.37760630034734,,8.918577504398803
hstrm13,14.031542427561876,2.9814992834798497,,,83.18495140686466,16.815048593135344,,,10.800000187749733,389.3776063003467,,8.91508647623416
hstrm14,14.031542427561876,2.9814992834798493,,,83.18495140686466,16.81504859313535,,,27.27897736624484,523.1500050537767,,4.75990724025792
hstrm15,14.031542427561876,2.9814992834798493,,,83.18495140686466,16.81504859313535,,,27.27897736624484,359.55965453445907,,0.40225581441443203
hstrm16,6.1134542958276805,2.541978602605936,,,97.56804119500335,2.4319588049966443,,,27.27897736624484,359.5596545344592,,2.8056816619551155
hstrm17,5.031545748356,2.481923552255806,,,99.92889297112025,0.07110702887976625,,,27.278977366244842,288.15,,2.1990021777375217
hstrm18,4.999751984126984,2.4801587301587302,,,100.0,100,,,27.278977366244842,288.15,,2.1956879853121882
hstrm19,4.999751984126984,2.4801587301587302,,,100.0,100,,,64.79,288.15,,0.9364800269000233
ostrm01,405.57270269301694,13.785229369727247,0.7544789185182831,0.024602573429943993,,0.8118849231881525,63.409032586775695,35.00000099808794,1.1999999999999997,983.8386209710277,,939.993307452051
ostrm02,202.7863550796104,6.89261481175004,0.7544789185182831,0.024602573429943993,,0.8118849231881523,63.409032586775695,35.00000099808794,1.1999999999999997,983.8386209710277,,469.9966623782125
ostrm03,202.78634761340655,6.892614557977209,0.7544789185182832,0.024602573429943986,,0.8118849231881523,63.40903258677568,35.00000099808794,1.1999999999999997,983.8386209710277,,469.99664507383864
ostrm04,202.78634761340658,6.892614557977209,0.7544789185182831,0.024602573429943993,,0.8118849231881523,63.409032586775695,35.00000099808794,1.1999999999999997,582.7015595015446,,278.371101341283
ostrm06,202.78634761340658,6.892614557977209,0.7544789185182832,0.024602573429943993,,0.8118849231881523,63.409032586775695,35.00000099808794,1.1999999999999997,366.854968326221,,175.17124023958186
ostrm07,202.78634761340655,6.89261455797721,0.754478918518283,0.024602573429943986,,0.8118849231881523,63.40903258677568,35.00000099808794,1.1999999999999997,321.80448869345065,,153.60475875791724
sweep00,163.10628808959692,5.652535192897842,0.9199999999999999,0.03,,0.9900000000000001,77.32,20.74,1.01,288.15,,133.98316357424486
sweep01,163.10628808959694,5.652535192897843,0.9199999999999998,0.03,,0.9900000000000001,77.32,20.74,1.2000000000000002,306.2685288403701,,119.87363478578696
sweep02,163.10628808959697,5.652535192897844,0.9199999999999998,0.029999999999999992,,0.9899999999999999,77.32,20.739999999999995,1.2000000000000002,360.2413080787361,,141.06683520652163
sweep03,163.10628808959692,5.652535192897842,0.9199999999999999,0.03,,0.9900000000000002,77.32,20.74,1.2000000000000002,872.4007891520648,,341.79174183325165
sweep04,365.8926431692073,12.545150004647882,0.8290586356117636,0.027034520726470543,,0.8921391839735284,69.67697141902343,28.574796240664803,1.2,934.1727649427207,,812.2630247560564
sweep05,365.8926431692073,12.545150004647882,0.8290586356117637,0.027034520726470543,,0.8921391839735284,69.67697141902343,28.574796240664806,1.2,945.4131843160592,,822.0346627827718
water00,55.850904566470284,3.100198374316179,,,,100.0,,,1.0130000000000001,288.15000000000225,0.0,0.055901069638885116
water01,55.850904566470284,3.100198374316179,,,,100.0,,,1.0130000000000001,325.32885819443976,0.0,0.056584574402957014
water02,55.850904566470284,3.100198374316179,,,,100.0,,,0.4,325.34142552325693,0.0,0.05658644420623548
water03a,6.801223351936573,0.3775255162419217,,,,100.0,,,0.4,325.34142552325693,0.0,0.006890793420909982
water03b,3.8515969963769328,0.21379626416753458,,,,100.0,,,0.4,325.34142552325693,0.0,0.003902321372091638
water03c,4.996612543660829,0.2773543276547886,,,,100.0,,,0.4,325.34142552325693,0.0,0.005062416430257446
water03d,13.557023046328785,0.752529634659267,,,,100.0,,,0.4,325.34142552325693,0.0,0.013735564968347566
water03e,18.27130211487858,1.0142120625060134,,,,100.0,,,0.4,325.34142552325693,0.0,0.018511929676418327
water03f,8.373146513288594,0.4647805690866543,,,,100.0,,,0.40000000000000013,325.34142552325693,0.0,0.008483418338210529
water04a,6.801223351936573,0.3775255162419217,,,,100.0,,,0.4,349.8397653251447,100.0,27.224968724786816
water04b,3.8515969963769323,0.21379626416753456,,,,100.0,,,0.4,349.8397653251447,100.0,15.417756827084235
water04c,4.99661254366083,0.2773543276547887,,,,100.0,,,0.4,349.8397653251447,100.0,20.001198783202703
water04d,13.557023046328782,0.7525296346592669,,,,100.0,,,0.4,349.8397653251447,100.0,54.26810874141062
water04e,18.27130211487858,1.0142120625060134,,,,100.0,,,0.4,349.8397653251447,100.0,73.13914025438693
water04f,8.373146513288594,0.4647805690866543,,,,100.0,,,0.40000000000000013,349.8397653251447,100.0,33.517301249551075
water05,55.85090456647029,3.1001983743161796,,,,100.0,,,0.4,349.83976532514424,100.0,223.56847458042208
